"","accession","genus","species","seqlength","latitude","longitude","genetype","dnasource","taxa","vertebrate"
"60","JQ842861","Eucinostomus","sp. BOLD:AAA4223","591",11.1466,-60.783,"genomic DNA","mitochondrion",NA,"Vertebrata"
"61","JQ842860","Eucinostomus","sp. BOLD:AAA4223","582",11.1466,-60.783,"genomic DNA","mitochondrion",NA,"Vertebrata"
"62","JQ842859","Eucinostomus","sp. BOLD:AAB1827","595",11.1466,-60.783,"genomic DNA","mitochondrion",NA,"Vertebrata"
"63","JQ842119","Eucinostomus","sp. BOLD:AAA4224","655",12.1375,-68.9724,"genomic DNA","mitochondrion",NA,"Vertebrata"
"64","JQ842169","Hypoplectrus","sp. BOLD:AAB9627","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"65","JQ842168","Hypoplectrus","sp. BOLD:AAB9627","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"66","JQ842170","Hypoplectrus","sp. BOLD:AAB9627","655",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"67","JQ842172","Jenkinsia","sp. BOLD:AAA7901","603",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"68","JQ842171","Jenkinsia","sp. BOLD:AAA7901","601",12.1331,-68.9848,"genomic DNA","mitochondrion",NA,"Vertebrata"
"69","JQ842911","Kyphosus","sp. BOLD:AAC3456","640",11.1554,-60.8386,"genomic DNA","mitochondrion",NA,"Vertebrata"
"70","JQ843028","Risor","sp. BOLD:AAC4191","594",11.1558,-60.8423,"genomic DNA","mitochondrion",NA,"Vertebrata"
"71","JQ843027","Risor","sp. BOLD:AAC4191","617",11.1558,-60.8423,"genomic DNA","mitochondrion",NA,"Vertebrata"
"72","JQ842021","Blenniidae","sp. BOLD:AAB0579","655",12.1488,-68.9995,"genomic DNA","mitochondrion",NA,"Vertebrata"
"73","JQ842044","Chaenopsidae","sp. BOLD:AAF8918","655",12.1325,-68.985,"genomic DNA","mitochondrion",NA,"Vertebrata"
"74","JQ601062","Cerdocyon","thous","657",6.933,-66.55,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"75","JQ174108","Atlapetes","personatus","652",5.267,-60.733,"genomic DNA","mitochondrion","Aves","Vertebrata"
"76","JQ174107","Atlapetes","personatus","639",5.267,-60.733,"genomic DNA","mitochondrion","Aves","Vertebrata"
"77","JQ174106","Atlapetes","personatus","652",5.267,-60.733,"genomic DNA","mitochondrion","Aves","Vertebrata"
"78","JQ175958","Poospiza","cinerea","652",-33.939,-58.289,"genomic DNA","mitochondrion","Aves","Vertebrata"
"79","JQ175963","Poospiza","lateralis","652",-30.81,-56.096,"genomic DNA","mitochondrion","Aves","Vertebrata"
"80","JQ175962","Poospiza","lateralis","652",-30.81,-56.096,"genomic DNA","mitochondrion","Aves","Vertebrata"
"81","JQ627238","Coryphospingus","cucullatus","582",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"82","JQ627239","Coryphospingus","cucullatus","580",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"83","JQ627240","Coryphospingus","cucullatus","584",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"84","JQ627258","Volatinia","jacarina","588",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"85","JQ627241","Coryphospingus","cucullatus","581",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"86","JQ627259","Volatinia","jacarina","583",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"87","JQ627255","Sporophila","caerulescens","584",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"88","JQ627242","Coryphospingus","cucullatus","568",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"89","JQ627260","Zonotrichia","capensis","582",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"90","JQ627340","Coryphospingus","cucullatus","667",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"91","JQ627337","Coryphospingus","cucullatus","673",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"92","JQ627356","Volatinia","jacarina","674",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"93","JQ627338","Coryphospingus","cucullatus","657",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"94","JQ627355","Volatinia","jacarina","664",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"95","JQ627357","Volatinia","jacarina","678",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"96","JQ627339","Coryphospingus","cucullatus","656",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"97","JQ627352","Sporophila","caerulescens","676",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"98","JQ627358","Zonotrichia","capensis","671",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"99","JQ627336","Coryphospingus","cucullatus","667",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"100","JQ627359","Zonotrichia","capensis","669",-21.98,-47.87,"genomic DNA","mitochondrion","Aves","Vertebrata"
"101","JQ175643","Oryzoborus","crassirostris","649",2.817,-59.817,"genomic DNA","mitochondrion","Aves","Vertebrata"
"102","JQ175642","Oryzoborus","crassirostris","641",2.817,-59.817,"genomic DNA","mitochondrion","Aves","Vertebrata"
"103","JQ175641","Oryzoborus","angolensis","652",5.267,-60.733,"genomic DNA","mitochondrion","Aves","Vertebrata"
"104","JQ176259","Sporophila","nigricollis","652",2.817,-59.817,"genomic DNA","mitochondrion","Aves","Vertebrata"
"105","JQ174093","Arremon","taciturnus","652",1.383,-58.933,"genomic DNA","mitochondrion","Aves","Vertebrata"
"106","JQ174095","Arremon","taciturnus","639",5.2,-57.283,"genomic DNA","mitochondrion","Aves","Vertebrata"
"107","JQ175677","Paroaria","gularis","650",3.883,-59.583,"genomic DNA","mitochondrion","Aves","Vertebrata"
"108","JQ175678","Paroaria","gularis","652",3.883,-59.583,"genomic DNA","mitochondrion","Aves","Vertebrata"
"109","JQ175679","Paroaria","gularis","652",1.583,-58.633,"genomic DNA","mitochondrion","Aves","Vertebrata"
"110","JQ174711","Dolospingus","fringilloides","591",1.65,-58.617,"genomic DNA","mitochondrion","Aves","Vertebrata"
"111","JQ174782","Emberizoides","ypiranganus","652",-30.49,-57.72,"genomic DNA","mitochondrion","Aves","Vertebrata"
"112","JQ174781","Emberizoides","ypiranganus","652",-30.49,-57.72,"genomic DNA","mitochondrion","Aves","Vertebrata"
"113","JQ176250","Sporophila","cinnamomea","652",-30.49,-57.72,"genomic DNA","mitochondrion","Aves","Vertebrata"
"114","JQ176249","Sporophila","cinnamomea","652",-32.107,-57.927,"genomic DNA","mitochondrion","Aves","Vertebrata"
"115","JQ176263","Sporophila","ruficollis","556",-32.107,-57.927,"genomic DNA","mitochondrion","Aves","Vertebrata"
"116","JQ175026","Hemithraupis","guira","639",-3.65,-52.367,"genomic DNA","mitochondrion","Aves","Vertebrata"
"117","JQ176257","Sporophila","minuta","652",3.883,-59.583,"genomic DNA","mitochondrion","Aves","Vertebrata"
"118","KP772585","Hypostomus","macushi","522",-1.71782,-57.36856,"genomic DNA","mitochondrion",NA,"Vertebrata"
"119","KP772574","Dekeyseria","scaphirhyncha","618",-1.84123,-57.07212,"genomic DNA","mitochondrion",NA,"Vertebrata"
"120","KP772578","Ancistrus","dolichopterus","600",-1.84123,-57.07212,"genomic DNA","mitochondrion",NA,"Vertebrata"
"121","KP772593","Ancistrus","dolichopterus","600",-1.84123,-57.07212,"genomic DNA","mitochondrion",NA,"Vertebrata"
"122","KP772573","Hypoptopoma","incognitum","594",-2.17525,-56.7115,"genomic DNA","mitochondrion",NA,"Vertebrata"
"123","KP772600","Scorpiodoras","heckelii","558",-1.99702,-57.03758,"genomic DNA","mitochondrion",NA,"Vertebrata"
"124","KP772599","Goeldiella","eques","630",-1.99702,-57.03758,"genomic DNA","mitochondrion",NA,"Vertebrata"
"125","KP772576","Hypostomus","carinatus","594",-1.84123,-57.07212,"genomic DNA","mitochondrion",NA,"Vertebrata"
"126","KP772577","Hypostomus","carinatus","594",-1.84123,-57.07212,"genomic DNA","mitochondrion",NA,"Vertebrata"
"127","KP772579","Lasiancistrus","schomburgkii","615",-1.6909,-57.42231,"genomic DNA","mitochondrion",NA,"Vertebrata"
"128","KP772592","Leporacanthicus","galaxias","633",-1.84123,-57.07212,"genomic DNA","mitochondrion",NA,"Vertebrata"
"129","KP772602","Pseudoloricaria","laeviuscula","633",-2.02386,-56.78235,"genomic DNA","mitochondrion",NA,"Vertebrata"
"130","KP772588","Pseudoplatystoma","reticulatum","633",-1.67511,-57.47678,"genomic DNA","mitochondrion",NA,"Vertebrata"
"131","KP772594","Batrochoglanis","villosus","606",-1.84123,-57.07212,"genomic DNA","mitochondrion",NA,"Vertebrata"
"132","KP772589","Phractocephalus","hemioliopterus","633",-1.67511,-57.47678,"genomic DNA","mitochondrion",NA,"Vertebrata"
"133","KP772569","Tatia","musaica","597",4.02883,-67.70458,"genomic DNA","mitochondrion",NA,"Vertebrata"
"134","KP772570","Tatia","musaica","606",4.02883,-67.70458,"genomic DNA","mitochondrion",NA,"Vertebrata"
"135","KP772571","Tatia","musaica","615",4.02883,-67.70458,"genomic DNA","mitochondrion",NA,"Vertebrata"
"136","KP772596","Tatia","nigra","633",-1.84123,-57.07212,"genomic DNA","mitochondrion",NA,"Vertebrata"
"137","KP772581","Farlowella","nattereri","588",-1.6909,-57.42231,"genomic DNA","mitochondrion",NA,"Vertebrata"
"138","KP772580","Rineloricaria","lanceolata","528",-1.6909,-57.42231,"genomic DNA","mitochondrion",NA,"Vertebrata"
"139","KP772582","Loricaria","cataphracta","627",-1.6909,-57.42231,"genomic DNA","mitochondrion",NA,"Vertebrata"
"140","KP772586","Trachycorystes","trachycorystes","627",-1.67511,-57.47678,"genomic DNA","mitochondrion",NA,"Vertebrata"
"141","KP772601","Astrodoras","asterifrons","624",-2.02386,-56.78235,"genomic DNA","mitochondrion",NA,"Vertebrata"
"142","KP772587","Pinirampus","pirinampu","633",-1.67511,-57.47678,"genomic DNA","mitochondrion",NA,"Vertebrata"
"143","KP772598","Calophysus","macropterus","630",-2.02386,-56.78235,"genomic DNA","mitochondrion",NA,"Vertebrata"
"144","KF562495","Chilodus","fritillus","1210",-12.2771,-69.1524,"genomic DNA",NA,NA,"Vertebrata"
"145","KF562465","Caenotropus","maculosus","704",4.25,-54.5259,"genomic DNA",NA,NA,"Vertebrata"
"146","KF562396","Chilodus","punctatus","596",-10.079,-67.5428,"genomic DNA","mitochondrion",NA,"Vertebrata"
"147","KF562419","Chilodus","gracilis","629",0.0089,-66.9266,"genomic DNA","mitochondrion",NA,"Vertebrata"
"148","KF562496","Chilodus","gracilis","1210",0.0089,-66.9266,"genomic DNA",NA,NA,"Vertebrata"
"149","KF562466","Caenotropus","mestomorgmatos","704",-3.7792,-73.3683,"genomic DNA",NA,NA,"Vertebrata"
"150","KF562398","Chilodus","punctatus","596",-7.9364,-63.4598,"genomic DNA","mitochondrion",NA,"Vertebrata"
"151","KF562420","Chilodus","gracilis","633",0.0089,-66.9266,"genomic DNA","mitochondrion",NA,"Vertebrata"
"152","KF562441","Caenotropus","maculosus","985",3.29,-54.0772,"genomic DNA","mitochondrion",NA,"Vertebrata"
"153","KF562497","Chilodus","gracilis","1210",0.0089,-66.9266,"genomic DNA",NA,NA,"Vertebrata"
"154","KF562467","Caenotropus","mestomorgmatos","704",-3.7517,-73.3163,"genomic DNA",NA,NA,"Vertebrata"
"155","KF562399","Chilodus","punctatus","596",-1.5667,-47.1643,"genomic DNA","mitochondrion",NA,"Vertebrata"
"156","KF562421","Chilodus","gracilis","633",0.2739,-66.6435,"genomic DNA","mitochondrion",NA,"Vertebrata"
"157","KF562498","Chilodus","gracilis","1074",0.2739,-66.6435,"genomic DNA",NA,NA,"Vertebrata"
"158","KF562442","Caenotropus","mestomorgmatos","985",-3.7792,-73.3683,"genomic DNA","mitochondrion",NA,"Vertebrata"
"159","KF562468","Caenotropus","mestomorgmatos","704",-3.7517,-73.2872,"genomic DNA",NA,NA,"Vertebrata"
"160","KF562400","Chilodus","punctatus","596",-15.5405,-52.4385,"genomic DNA","mitochondrion",NA,"Vertebrata"
"161","KF562422","Chilodus","gracilis","501",0.2739,-66.6435,"genomic DNA","mitochondrion",NA,"Vertebrata"
"162","KF562443","Caenotropus","mestomorgmatos","985",-3.7517,-73.3163,"genomic DNA","mitochondrion",NA,"Vertebrata"
"163","KF562499","Chilodus","gracilis","1210",0.2739,-66.6435,"genomic DNA",NA,NA,"Vertebrata"
"164","KF562470","Chilodus","gracilis","704",0.0089,-66.9266,"genomic DNA",NA,NA,"Vertebrata"
"165","KF562401","Chilodus","punctatus","596",-3.8725,-73.5453,"genomic DNA","mitochondrion",NA,"Vertebrata"
"166","KF562423","Chilodus","punctatus","633",-10.079,-67.5428,"genomic DNA","mitochondrion",NA,"Vertebrata"
"167","KF562500","Chilodus","punctatus","1210",-10.079,-67.5428,"genomic DNA",NA,NA,"Vertebrata"
"168","KF562444","Caenotropus","mestomorgmatos","985",-3.7517,-73.2872,"genomic DNA","mitochondrion",NA,"Vertebrata"
"169","KF562379","Caenotropus","labyrinthicus","596",7.6366,-66.3178,"genomic DNA","mitochondrion",NA,"Vertebrata"
"170","KF562471","Chilodus","gracilis","704",0.0089,-66.9266,"genomic DNA",NA,NA,"Vertebrata"
"171","KF562402","Chilodus","punctatus","596",-3.7517,-73.2872,"genomic DNA","mitochondrion",NA,"Vertebrata"
"172","KF562424","Chilodus","punctatus","633",-10.079,-67.5428,"genomic DNA","mitochondrion",NA,"Vertebrata"
"173","KF562445","Caenotropus","mestomorgmatos","985",-3.781,-73.3639,"genomic DNA","mitochondrion",NA,"Vertebrata"
"174","KF562502","Chilodus","punctatus","1210",-7.9364,-63.4598,"genomic DNA",NA,NA,"Vertebrata"
"175","KF562472","Chilodus","gracilis","704",0.2739,-66.6435,"genomic DNA",NA,NA,"Vertebrata"
"176","KF562403","Chilodus","punctatus","596",-3.7517,-73.2872,"genomic DNA","mitochondrion",NA,"Vertebrata"
"177","KF562446","Caenotropus","mestomorgmatos","985",-3.781,-73.3639,"genomic DNA","mitochondrion",NA,"Vertebrata"
"178","KF562380","Caenotropus","labyrinthicus","597",-3.7517,-73.2872,"genomic DNA","mitochondrion",NA,"Vertebrata"
"179","KF562425","Chilodus","punctatus","495",-7.9364,-63.4598,"genomic DNA","mitochondrion",NA,"Vertebrata"
"180","KF562503","Chilodus","punctatus","1210",-1.5667,-47.1643,"genomic DNA",NA,NA,"Vertebrata"
"181","KF562404","Chilodus","punctatus","596",-3.781,-73.3639,"genomic DNA","mitochondrion",NA,"Vertebrata"
"182","KF562447","Caenotropus","schizodon","985",-4.2803,-59.9906,"genomic DNA","mitochondrion",NA,"Vertebrata"
"183","KF562473","Chilodus","gracilis","704",0.2739,-66.6435,"genomic DNA",NA,NA,"Vertebrata"
"184","KF562381","Caenotropus","maculosus","594",4.6467,-57.2147,"genomic DNA","mitochondrion",NA,"Vertebrata"
"185","KF562426","Chilodus","punctatus","510",-15.5405,-52.4385,"genomic DNA","mitochondrion",NA,"Vertebrata"
"186","KF562504","Chilodus","punctatus","1210",-15.5405,-52.4385,"genomic DNA",NA,NA,"Vertebrata"
"187","KF562405","Chilodus","punctatus","596",3.3822,-59.8579,"genomic DNA","mitochondrion",NA,"Vertebrata"
"188","KF562382","Caenotropus","maculosus","595",4.25,-54.5259,"genomic DNA","mitochondrion",NA,"Vertebrata"
"189","KF562474","Chilodus","punctatus","704",-10.079,-67.5428,"genomic DNA",NA,NA,"Vertebrata"
"190","KF562448","Caenotropus","schizodon","985",-4.2803,-59.9906,"genomic DNA","mitochondrion",NA,"Vertebrata"
"191","KF562427","Chilodus","punctatus","633",-3.8725,-73.5453,"genomic DNA","mitochondrion",NA,"Vertebrata"
"192","KF562505","Chilodus","punctatus","1210",-3.8725,-73.5453,"genomic DNA",NA,NA,"Vertebrata"
"193","KF562406","Chilodus","punctatus","596",3.3822,-59.8579,"genomic DNA","mitochondrion",NA,"Vertebrata"
"194","KF562449","Chilodus","gracilis","985",0.0089,-66.9266,"genomic DNA","mitochondrion",NA,"Vertebrata"
"195","KF562383","Caenotropus","maculosus","596",3.29,-54.0772,"genomic DNA","mitochondrion",NA,"Vertebrata"
"196","KF562475","Chilodus","punctatus","704",-7.9364,-63.4598,"genomic DNA",NA,NA,"Vertebrata"
"197","KF562428","Chilodus","punctatus","633",-3.7517,-73.2872,"genomic DNA","mitochondrion",NA,"Vertebrata"
"198","KF562506","Chilodus","punctatus","1210",-3.7517,-73.2872,"genomic DNA",NA,NA,"Vertebrata"
"199","KF562408","Caenotropus","labyrinthicus","633",-3.7517,-73.2872,"genomic DNA","mitochondrion",NA,"Vertebrata"
"200","KF562450","Chilodus","gracilis","985",0.0089,-66.9266,"genomic DNA","mitochondrion",NA,"Vertebrata"
"201","KF562384","Caenotropus","mestomorgmatos","596",-3.7792,-73.3683,"genomic DNA","mitochondrion",NA,"Vertebrata"
"202","KF562429","Chilodus","punctatus","633",-3.7517,-73.2872,"genomic DNA","mitochondrion",NA,"Vertebrata"
"203","KF562507","Chilodus","punctatus","1210",-3.7517,-73.2872,"genomic DNA",NA,NA,"Vertebrata"
"204","KF562476","Chilodus","punctatus","704",-1.5667,-47.1643,"genomic DNA",NA,NA,"Vertebrata"
"205","KF562409","Caenotropus","maculosus","633",4.6467,-57.2147,"genomic DNA","mitochondrion",NA,"Vertebrata"
"206","KF562451","Chilodus","gracilis","985",0.2739,-66.6435,"genomic DNA","mitochondrion",NA,"Vertebrata"
"207","KF562430","Chilodus","punctatus","633",-3.781,-73.3639,"genomic DNA","mitochondrion",NA,"Vertebrata"
"208","KF562410","Caenotropus","maculosus","633",4.25,-54.5259,"genomic DNA","mitochondrion",NA,"Vertebrata"
"209","KF562508","Chilodus","punctatus","1210",3.3822,-59.8579,"genomic DNA",NA,NA,"Vertebrata"
"210","KF562477","Chilodus","punctatus","704",-15.5405,-52.4385,"genomic DNA",NA,NA,"Vertebrata"
"211","KF562385","Caenotropus","mestomorgmatos","596",-3.7517,-73.3163,"genomic DNA","mitochondrion",NA,"Vertebrata"
"212","KF562452","Chilodus","gracilis","985",0.2739,-66.6435,"genomic DNA","mitochondrion",NA,"Vertebrata"
"213","KF562479","Chilodus","punctatus","704",-3.7517,-73.2872,"genomic DNA",NA,NA,"Vertebrata"
"214","KF562431","Chilodus","punctatus","633",3.3822,-59.8579,"genomic DNA","mitochondrion",NA,"Vertebrata"
"215","KF562411","Caenotropus","maculosus","633",3.29,-54.0772,"genomic DNA","mitochondrion",NA,"Vertebrata"
"216","KF562509","Chilodus","punctatus","1159",3.3822,-59.8579,"genomic DNA",NA,NA,"Vertebrata"
"217","KF562386","Caenotropus","mestomorgmatos","596",-3.7517,-73.2872,"genomic DNA","mitochondrion",NA,"Vertebrata"
"218","KF562453","Chilodus","punctatus","985",-10.079,-67.5428,"genomic DNA","mitochondrion",NA,"Vertebrata"
"219","KF562482","Chilodus","punctatus","704",3.3822,-59.8579,"genomic DNA",NA,NA,"Vertebrata"
