Name and Taxonomic classification,,,,,,Environment,,,,,,Impact - Status- Year & Country of first introduction in Europe,,,,,,,,Pathways of introduction in Europe,,,,,,,,,,,,,,,,,,,,,,
NAME,Kingdom,Phylum,Class,Order,Family,TER,FW,MAR,EST,PAR,NA,IMPACT,STATUS,YEAR OF INTRODUCTION,CATEGORY,COUNTRY,NOTES,CITATION,PARTLY NATIVE,RELEASE: Biocontrol,RELEASE: Game animals,RELEASE: Landscaping-Erosion control,"RELEASE: Pets, Terrarium-Aquarium species",RELEASE: Other,ESCAPE: Cultivation and Livestock,ESCAPE: Aquaculture,ESCAPE: Ornamental planting,ESCAPE: Use of live food-bait,"ESCAPE: Pets, Terrarium-Aquarium species","ESCAPE: Zoos, botanical gardens",CONTAMINANT: Trade of contaminated commodities,CONTAMINANT: Packaging materials,CONTAMINANT: Aquaculture,STOWAWAY: Shipping,STOWAWAY: Aviation,STOWAWAY: Land transport,CORRIDOR: Lessepsian migrants,CORRIDOR: Inland canals,CORRIDOR: Railroads and Highways,OTHER,UNKNOWN,COMMENTS
Acanthocinus aedilis,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,1,0,0,0,0,0,,A,1991,3,UK,,Uhthoff-Kaufmann (1991)  Entomologist's Record and Journal of Variation 103: 189- 192.,1,,,,,,,,,,,,p,,,,,,,,,,,
Acanthocinus griseus,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,1,0,0,0,0,0,,A,1996,3,Denmark,,"Hansen,M. 1996. Katalog over Danmarks biller. Ent.Meddr.64(1&2)",1,,,,,,,,,,,,,,,,,,,,,,p,
Acanthocinus reticulatus,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,1,0,0,0,0,0,,A,1964,3,Denmark,,"Hansen,V., 1964. Fortgnelse over Danmarks Biller. Ent.Meddr.33: 1-504.",1,,,,,,,,,,,,,,,,,,,,,,p,
Acanthocnemus nigricans,Animalia,Arthropoda,Insecta,Coleoptera,Acanthocnemidae,1,0,0,0,0,0,,A,1922,2,France (Corsica),,"Denux O, Zagatti P, 2010, Coleoptera families other than Cerambycidae, Curculionidae sensu lato, Chrysomelidae sensu lato and Coccinellidae., BioRisk, 4, 315-406",1,,,,,,,,,,,,p,,,,,,,,,,,
Acanthococcus agropyri,Animalia,Arthropoda,Insecta,Hemiptera,Eriococcidae,1,0,0,0,0,0,,Q,1992,2,Italy,,"Pellizzari G , 1993, Homoptera Coccoidea nuovi o poco noti per la fauna italiana., Boll. zool. agraria Bachicolt., 25, 49-55",1,,,,,,,,,,,,,,,,,,,,,,p,
Acanthococcus micracanthus,Animalia,Arthropoda,Insecta,Hemiptera,Eriococcidae,1,0,0,0,0,0,,Q,1991,2,Italy,,"Pellizzari G , 1993, Homoptera Coccoidea nuovi o poco noti per la fauna italiana., Boll. zool. agraria Bachicolt., 25, 49-55",1,,,,,,,,,,,,,,,,,,,,,,p,
Acantholyda erythrocephala,Animalia,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,1,0,0,0,0,0,,A,1978,3,UK,,"Fitton MG, de V. Graham MWR, Boucek ZRJ, Fergusson NDM, Huddleston T, et al. (1978) Hymenoptera. In Kloet GS, Hincks WD (eds). A checklist of British insects. Handbooks for the identification of British insects, 2nd ed. London: Royal Entomological Society",1,,,,,,,,,,,,P,,,,,,,,,,,
Acantholyda laricis,Animalia,Arthropoda,Insecta,Hymenoptera,Pamphiliidae,1,0,0,0,0,0,,A,1986,3,Netherlands,,"Magis N (1988) Mise à jour du catalogue des Pamphilidae observés en Belgique et dans les pays limitrophes : Hyménoptères, Symphytes. Notes fauniques de Gembloux 16: 1-48.",1,,,,,,,,,,,,P,,,,,,,,,,,
Acanthopagrus bifasciatus ,Animalia,Chordata,Actinopterygii,Perciformes,Sparidae,0,0,1,0,0,0,,A,2010,2,Tunisia,,"BEN-SOUISSI, J., BOUGHEDIR, W., RIFI, M., CAPAPE, C., AZZURRO, E.. 2014.  First record of the twobar sea bream Acanthopagrus bifasciatus (Teleostei: Sparidae) in the Mediterranean Sea. Mediterranean Marine Science,",,,,,,,,,,,,,,,,,,,p,,,,,
Acanthophora nayadiformis,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,0,0,1,0,0,0,,C,1861,3,Greece,,"Grunow In Heufler, A., 1861. IV. Algas. In HEUFLER, Specimen florae cryptogamae septem insularum. Verhandlungen der Zoologisch-Botanischen  Gesellschaft Wien, 11, 416-430.",,,,,,,,,,,,,,,,p,,,p,,,,,
Acanthopleura gemmata,Animalia,Mollusca,Polyplacophora,Chitonida,Chitonidae,0,0,1,0,0,0,,Q,2007,2,Libya,,"Zaouali, J., Ben Souissi, J.,  Galil, B.S., d’Udekem d’Acoz, C. &  ben Abdallah, A., 2007. Grapsoid crabs (Crustacea: Decapoda: Brachyura) new to the Sirte Basin, southern Mediterranean Sea-the roles of vessel traffic and climate change. JMBA, Biodiversity Re",,,,,,,,,,,,,,,,,,,p,,,,,
Acanthoscelides obtectus,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,1,0,0,0,0,0,,A,1889,3,Italy,,Beenen & Roques (2010) Biorisk 4: 267-292,,,,,,,,,,,,,p,,,,,,,,,,,
Acanthoscelides pallidipennis,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,1,0,0,0,0,0,,A,1980,2,Bulgaria,,Beenen & Roques (2010) Biorisk 4: 267-292,,,,,,,,,,,,,p,,,,,,,,,,,
Acanthoscurria geniculata,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,1,0,0,0,0,0,,Q,,,Spain (Canary Islands),,,1,,,,,,,,,,p,,,,,,,,,,,,,
Acanthospermum hispidum,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,1,0,0,0,0,0,HI,A,1969,3,France,,,,,,,,,,,,,,,p,p,,,,,,,,,,
Acanthoxyla geisovii,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,1,0,0,0,0,0,,A,1909,2,UK,,Lee M. (1993) Phasmid Studies 4: 15-23,,,,,,,,,,,p,,,,,p,,,,,,,,
Acanthoxyla inermis,Animalia,Arthropoda,Insecta,Phasmatodea,Phasmatidae,1,0,0,0,0,0,,A,1920,2,UK,,Lee M. (1993) Phasmid Studies 4: 15-23,,,,,,,,,,,p,,,,,p,,,,,,,,
Acaphylla theae,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1983,2,Italy,,Navajas et al. (2010) Biorisk 4: 149-192,,,,,,,,,,,,,p,,,,,,,,,,,
Acar plicata,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,0,0,1,0,0,0,,A,1978,2,Israel,,"Barash, A. & Danin, Z., 1986. Further additions to the knowledge of Indo-Pacific mollusca in the Mediterranean Sea. Spixiana, 9(2): 117-141.",,,,,,,,,,,,,,,,,,,p,,,,,
Acaricalus hederae,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1997,2,Serbia,,Petanović & Stanković (1999) Acta. Ent. Serb. Spec.issue,,,,,,,,,,,,,p,,,,,,,,,,,
Acartia (Acanthacartia) fossae,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,0,0,1,0,0,0,,A,1970,2,Lebanon,1970s,"Lakkis, S., 1976. Considerations on the distribution of pelagic copepods in the eastern Mediterranean off the coast of Lebanon. Acta Adriatica 18: 41–52.",,,,,,,,,,,,,,,,,,,p,,,,,
Acartia (Acartiura) omorii,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,0,0,1,0,0,0,,A,2004,2,France,,"Seuront, L., 2005. Hydrodynamic and tidal controls of small-scale phytoplankton patchiness. Mar. Ecol. Prog. Ser. 302:93-101.",,,,,,,,,,,,,,,,p,,,,,,,,
Acartia (Odontacartia) centrura,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,0,0,1,0,0,0,,A,1968,2,Israel,,"Berdugo, V., 1974. On the occurrence of Acartia centrura (Copepoda: Calanoida) in the neritic waters of the Eastern Mediterranean. Rapports et Proces-Verbaux des Reunions, Commission Internationale pour I'Exploration Scientifique de la mer Mediterranee 22.",,,,,,,,,,,,,,,,p,,,,,,,,
Acartia tonsa,Animalia,Arthropoda,Maxillopoda,Calanoida,Acartiidae,0,0,1,1,0,0,HI,C,1912,2,Netherlands,,"Redeke, H.C., 1934. On the occurrence of two pelagic copepods, Acartia bifilosa and Acartia tonsa, in the brackish waters of the Netherlands. Journal du Conseil International de l’Exploration de la Mer 9(1): 39-45.",,,,,,,,,,,,,,,S,p,,,,,,,,
Acaudaleyrodes rachiphora,Animalia,Arthropoda,Insecta,Hemiptera,Aleyrodidae,1,0,0,0,0,0,,A,2000,3,Spain (Canary Islands),,"Mifsud D, Coquempot C, Mühlethaler R, Wilson M, Streito J-C, 2010, Other Hemiptera Sternorrhyncha (Aleyrodidae, Phylooxeroidea, and Psylloidea) and Hemiptera Auchenorrhyncha., BioRisk, 4, 511-552",1,,,,,,,,,,,,p,,,,,,,,,,,
Accipiter nisus,Animalia,Chordata,Aves,Ciconiiformes,Accipitridae,1,0,0,0,0,0,,C,2001,3,Spain,,"Martín, A. & Lorenzo, J. A. 2001. Aves Del Archipiélago Canario. Francisco Lemus Editor",1,,,,,,,,,,p,,,,,,,,,,,,,
Acer negundo,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,1,0,0,0,0,0,HI,A,1688,1,UK,,,,,,,,,,,p,,,,,,,,,,,,,,,
Acer platanoides,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,1,0,0,0,0,0,HI,A,1683,1,UK,,,,,,,,,,,p,,,,,,,,,,,,,,,
Acer pseudoplatanus,Plantae,Magnoliophyta,Magnoliopsida,Sapindales,Aceraceae,1,0,0,0,0,0,HI,A,,,UK,Roman times- Middle Ages,,,,,,,,,,p,,,,,,,,,,,,,,,
Aceratoneuromyia indica,Animalia,Arthropoda,Insecta,Hymenoptera,Eulophidae,1,0,0,0,1,0,,A,1974,1,Italy,,Rasplus et al. (2010) BioRisk 4: 669–776,,p,,,,,,,,,,,,,,,,,,,,,,
Aceria alpestris,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,1,0,0,0,0,0,,A,1952,3,Czech Republic,,Navajas et al. (2010) Biorisk 4: 149-192,1,,,,,,,,,,,,p,,,,,,,,,,,
Aceria ambrosiae,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1999,2,Serbia,,Petanović & Stanković (1999) Acta. Ent. Serb. Spec.issue,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria byersi,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1981,2,Serbia,,Petanović (1988) Eriofidne grinje u Jugoslaviji,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria caliberberis,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1998,2,Serbia,,Petanović (1998) Acta Entomol. Serbica 3: 149–157,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria erinea,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1903,2,Bulgaria,,Navajas et al. (2010) Biorisk 4: 149-192,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria kuko,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,2012,2,Slovenia,,Seljak G. (2013) The dynamics of introduction of alien phytophagous insects and mites into Slovenia. Acta Entomologica Slovenica 21 : 85-122,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria ligustri,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1995,2,Serbia,,Petanović (1997) Allochthonous mite species (Acari) in the Fauna of Yugoslavia. Plant protec. 48: 211-224,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria loewi,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,1,0,0,0,0,0,,A,1901,3,Romania,,Navajas et al. (2010) Biorisk 4: 149-192,1,,,,,,,,,,,,p,,,,,,,,,,,
Aceria mangiferae,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,1,0,0,0,0,0,,A,2009,3,Spain (Canary Islands),,"Arechavaleta, M., S. Rodríguez, N. Zurita & A. García (Coord.) 2010. Lista de especies silvestres de Canarias (hongos, plantas y animales terrestres) 2009. Gobierno de Canarias. 579 pp.",,,,,,,,,,,,,p,,,,,,,,,,,
Aceria neocynarae,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1998,2,Spain,,González Núñez et al. (2002) Bol. Sanid. Veg. Plagas 28: 415–418.,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria paradianthi,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1987,2,Greece,,Anagnou-Veroniki et al. (2008) Hellenic Plant Prot. J. 1: 55–78.,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria petanovicae,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1939,3,Italy,,Fauna Italia. Eriophyidae. Accessed at http://www.faunaitalia.it/checklist/invertebrates/families/Eriophyidae.html,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria sawatchense,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1981,2,Serbia,,"Petanović  et al (1983) Archiv. Agric. Sci. 44,156:455-460",,,,,,,,,,,,,p,,,,,,,,,,,
Aceria sheldoni,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1600,3,Italy,,Navajas et al. (2010) Biorisk 4: 149-192,,,,,,,,,,,,,p,,,,,,,,,,,
Aceria stefanii,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,1,0,0,0,0,0,,A,2009,3,Spain (Canary Islands),,"Arechavaleta, M., S. Rodríguez, N. Zurita & A. García (Coord.) 2010. Lista de especies silvestres de Canarias (hongos, plantas y animales terrestres) 2009. Gobierno de Canarias. 579 pp.",1,,,,,,,,,,,,p,,,,,,,,,,,
Aceria tamaricis,Animalia,Arthropoda,Arachnida,Prostigmata,Eriophyidae,1,0,0,0,0,0,,A,2009,3,Spain (Canary Islands),,"Arechavaleta, M., S. Rodríguez, N. Zurita & A. García (Coord.) 2010. Lista de especies silvestres de Canarias (hongos, plantas y animales terrestres) 2009. Gobierno de Canarias. 579 pp.",1,,,,,,,,,,,,p,,,,,,,,,,,
Aceria tristriata,Animalia,Arthropoda,Arachnida,Acariformes,Eriophyidae,1,0,0,0,0,0,,A,1903,2,Serbia,,"Trotter (1903) Nuov. Giorn. Bot. Italiano NS 10, 5-54:210-233",,,,,,,,,,,,,p,,,,,,,,,,,
Acerophagus angelicus,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,1,0,0,0,1,0,,A,1988,2,Russia,,Izhevskiy (1988) Entomol. Review 68: 45-51,,p,,,,,,,,,,,,,,,,,,,,,,
Acerophagus maculipennis,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,1,0,0,0,1,0,,A,1971,1,France,,"Panis A. & Brun J. (1971) Essais de lutte biologique contre trois espèces de 'Pseudococcidae' (Homoptera, Coccoidea) en serres de plantes vertes. Revue de Zoologie Agricole et de Pathologie Végétale 70: 42-47",1,p,,,,,,,,,,,,,,,,,,,,,,
Acerophagus malinus,Animalia,Arthropoda,Insecta,Hymenoptera,Encyrtidae,1,0,0,0,1,0,,A,1966,3,Russia,,Elizarova (1966) Zashchita Rasteniy 10: 47-48,,,,,,,,,,,,,,,,,,,,,,,p,
Acharia stimulea ,Animalia,Arthropoda,Insecta,Lepidoptera,Limacodidae,1,0,0,0,0,0,,A,2007,2,Hungary,,Garai & Gyulai (2008) Növényvédelem 44 : 226-228,,,,,,,,,,,,,p,,,,,,,,,,,
Acheta domesticus,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,1,0,0,0,0,0,,A,1500,,,< 1500,"Weidner H, 1981, Einschleppung von Heuschrecken (Saltatoria und Phasmida) nach Hamburg., Anz. Schädlkde. Pflanzen-Umweltschutz, 54, 65-67",1,,,,,,,,,,,,p,,,,,,,,,,,
Achillea ptarmica,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,1,1,0,0,0,0,,A,1806,2,Iceland,,http://www.brc.ac.uk/plantatlas/index.php?q=plant/achillea-ptarmica; http://actaplantarum.org/flora/flora_info.php?id=256,1,,,,,,p,,,,,,,,,,,,,,,,,
Achillea salicifolia,Plantae,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,0,1,0,0,0,0,,A,1874,2,Finland,,,,,,,,,,,,,,,p,,,,,,,,,,,
Achnanthes pseudogroenlandica,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,0,0,1,0,0,0,,C,1984,3,Ukraine,,"Guslyakov, N.E. & Gerasemiul, V.P. 1984. About some new and interesting species of diatom algae of the Black Sea. Novosty sistematiki nizshikh rasteny, 21: 14-17 (in Russian).; Nevrova 2003.",1,,,,,,,,,,,,,,,p,,,,,,,,
Achyranthes aspera,Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,1,0,0,0,0,0,HI,A,1816,3,Spain,1816-1817,,,,,,,,,,,,,,p,,,p,,,,,,,,
Acinipe hesperica,Animalia,Arthropoda,Insecta,Orthoptera,Pamphagidae,1,0,0,0,0,0,,Q,1901,3,Germany,,"Kraepelin K, 1901, Ueber die durch den Schiffsverkehr in Hamburg eingeschleppten Tiere, 2. Beih. Jb. Hamburg. Wiss. Anst., 18, 183-209",1,,,,,,,,,,,,p,,,,,,,,,,,
Acipenser gueldenstaedtii,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,0,1,0,1,0,0,,A,1962,1,Estonia,,"Arman, J., 1968. Tuurlased Soome lahes. Eesti Loodus, 6: 367-368.",1,,,,,,,p,,,,,,,,,,,,,,,,
Acipenser naccarii,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,0,1,0,0,0,0,,Q,1990,1,Italy,,Brown (2011) Bombina variegata. GB Non-natives Factsheet Editor. http://www.brc.ac.uk/gbnn_admin/index.php?q=node/312,1,,,,,,,P,,,,,,,,,,,,,,,,
Acipenser ruthenus,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,0,1,0,1,0,0,,A,1837,1,Poland,,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)",1,,,,,,,p,,,,,,,,,,,,,,,,
Acipenser stellatus,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,0,1,0,1,0,0,,A,1993,1,Czech Republic,,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)",1,,,,,,,p,,,,,,,,,,,,,,,,
Acipenser sturio,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,0,1,0,0,0,0,,A,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,p,
Acipenser transmontanus,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,0,1,0,1,0,0,,A,1987,1,Italy,,"Froese and Pauly (2013) FishBase. World Wide Web electronic publication. www.fishbase.org, version (02/2013)",,,,,,,,p,,,,,,,,,,,,,,,,
Acizzia acaciaebaileyanae,Animalia,Arthropoda,Insecta,Hemiptera,Psyllidae,1,0,0,0,0,0,,A,1981,2,France,,"Mifsud D, Coquempot C, Mühlethaler R, Wilson M, Streito J-C, 2010, Other Hemiptera Sternorrhyncha (Aleyrodidae, Phylooxeroidea, and Psylloidea) and Hemiptera Auchenorrhyncha., BioRisk, 4, 511-552",1,,,,,,,,,,,,p,,,,,,,,,,,
